N,종목명,현재가,전일비,등락률,액면가,상장주식수,시가총액,매출액,외국인비율,PER,ROE,토론실
27,SK텔레콤,"50,700",300,0.60%,100,"110,948","218,833",46.49,"462,102",8.74,13.63,
28,한국전력,"17,100",200,1.18%,"5,000","109,776","641,964",14.36,"1,589,017",-0.71,-7.99,
29,S-Oil,"94,200",700,-0.74%,"2,500","106,053","112,583",80.93,"329,524",4.38,21.76,
30,카카오뱅크,"21,600","1,100",5.37%,"5,000","102,953","476,634",12.78,"5,351,045",47.89,4.91,
31,현대중공업,"115,000","1,000",0.88%,"5,000","102,089","88,773",5.77,"122,096",-13.82,-14.87,
32,HMM,"20,600",900,4.57%,"5,000","100,742","489,039",9.8,"3,007,727",0.86,88.62,
33,두산에너빌리티,"15,650",250,1.62%,"5,000","99,895","638,308",11.13,"5,592,445",117.67,10.67,
34,삼성에스디에스,"127,000",500,0.40%,500,"98,270","77,378",13.6,"83,818",12.92,8.8,
35,삼성전기,"129,000","3,000",2.38%,"5,000","96,355","74,694",27.14,"638,003",9.7,14.29,
36,KT,"36,650",350,0.96%,"5,000","95,697","261,112",44.18,"719,622",6.65,9.36,
37,삼성화재,"202,000","2,000",-0.98%,500,"95,697","47,375",50.21,"90,629",8.85,7.09,
38,크래프톤,"194,000",0,0.00%,100,"95,200","49,072",29.54,"121,965",15.07,17.86,
39,LG생활건강,"586,000","16,000",2.81%,"5,000","91,523","15,618",36.73,"103,563",17.4,16.65,
40,대한항공,"24,650",550,2.28%,"5,000","90,766","368,221",15.83,"1,566,155",5.76,11.6,
41,엔씨소프트,"412,000","9,000",2.23%,500,"90,451","21,954",43.19,"83,842",17.77,12.62,
42,한화솔루션,"47,050",400,0.86%,"5,000","89,997","191,278",24.21,"1,856,456",25.89,8.79,
43,우리금융지주,"11,700",150,1.30%,"5,000","85,183","728,061",40.5,"1,875,815",2.9,10.59,
44,기업은행,"10,500",100,-0.94%,"5,000","78,152","744,301",13.58,"891,343",3.45,9.21,
45,LG이노텍,"292,500","7,500",2.63%,"5,000","69,226","23,667",23.31,"352,878",7.19,30.94,
46,현대글로비스,"184,000","9,000",5.14%,500,"69,000","37,500",46.83,"128,497",6.66,14.41,
47,SK바이오사이언스,"85,000",200,0.24%,500,"65,266","76,784",4.35,"236,414",19.47,38.08,
48,아모레퍼시픽,"111,500","5,500",5.19%,500,"65,219","58,493",24.58,"721,499",91.62,4.2,
49,CJ제일제당,"414,500","3,000",-0.72%,"5,000","62,400","15,054",24.95,"37,691",10.46,10.76,
50,롯데케미칼,"171,000",500,-0.29%,"5,000","58,611","34,275",25.12,"164,499",11.41,9.87,
51,카카오페이,"43,950","3,800",9.46%,500,"58,314","132,682",42.82,"2,131,270",-221.97,-2.45,
52,F&F,"150,500","2,500",1.69%,100,"57,652","38,307",11.99,"136,841",15.74,N/A,
53,한국조선해양,"77,200","1,600",2.12%,"5,000","54,637","70,773",20.21,"121,038",-7.88,-8.95,
54,SK스퀘어,"38,500",400,1.05%,100,"54,465","141,468",42.02,"298,253",2.39,N/A,
